day,month,year,Hour,Temperature(�C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(�C),Solar Radiation (MJ/m2),Rainfall(mm),S0wfall (cm),Seasons,1,Functioning Day,Rented Bike Count
1,12,2017,0,-5.2,37,2.2,2000,-17.6,0,0,0,2,0,1,254
1,12,2017,1,-5.5,38,0.8,2000,-17.6,0,0,0,2,0,1,204
1,12,2017,2,-6,39,1,2000,-17.7,0,0,0,2,0,1,173
1,12,2017,3,-6.2,40,0.9,2000,-17.6,0,0,0,2,0,1,107
1,12,2017,4,-6,36,2.3,2000,-18.6,0,0,0,2,0,1,78
1,12,2017,5,-6.4,37,1.5,2000,-18.7,0,0,0,2,0,1,100
1,12,2017,6,-6.6,35,1.3,2000,-19.5,0,0,0,2,0,1,181
1,12,2017,7,-7.4,38,0.9,2000,-19.3,0,0,0,2,0,1,460
1,12,2017,8,-7.6,37,1.1,2000,-19.8,0.01,0,0,2,0,1,930
1,12,2017,9,-6.5,27,0.5,1928,-22.4,0.23,0,0,2,0,1,490
1,12,2017,10,-3.5,24,1.2,1996,-21.2,0.65,0,0,2,0,1,339
1,12,2017,11,-0.5,21,1.3,1936,-20.2,0.94,0,0,2,0,1,360
1,12,2017,12,1.7,23,1.4,2000,-17.2,1.11,0,0,2,0,1,449
1,12,2017,13,2.4,25,1.6,2000,-15.6,1.16,0,0,2,0,1,451
1,12,2017,14,3,26,2,2000,-14.6,1.01,0,0,2,0,1,447
1,12,2017,15,2.1,36,3.2,2000,-11.4,0.54,0,0,2,0,1,463
1,12,2017,16,1.2,54,4.2,793,-7,0.24,0,0,2,0,1,484
1,12,2017,17,0.8,58,1.6,2000,-6.5,0.08,0,0,2,0,1,555
1,12,2017,18,0.6,66,1.4,2000,-5,0,0,0,2,0,1,862
1,12,2017,19,0,77,1.7,2000,-3.5,0,0,0,2,0,1,600
1,12,2017,20,-0.3,79,1.5,1913,-3.5,0,0,0,2,0,1,426
1,12,2017,21,-0.8,81,0.8,1687,-3.6,0,0,0,2,0,1,405
1,12,2017,22,-0.9,83,1.5,1380,-3.4,0,0,0,2,0,1,398
1,12,2017,23,-1.3,84,1,1265,-3.6,0,0,0,2,0,1,323
2,12,2017,0,-1.8,87,1.1,994,-3.6,0,0,0,2,0,1,328
2,12,2017,1,-2.2,86,0.6,990,-4.2,0,0,0,2,0,1,308
2,12,2017,2,-2.9,86,1.5,1256,-4.9,0,0,0,2,0,1,262
2,12,2017,3,-3.5,81,2.2,1221,-6.2,0,0,0,2,0,1,167
2,12,2017,4,-3.8,79,2,1167,-6.9,0,0,0,2,0,1,89
2,12,2017,5,-4,79,1.5,1202,-7.1,0,0,0,2,0,1,79
2,12,2017,6,-4.3,82,2.1,1178,-6.9,0,0,0,2,0,1,70
2,12,2017,7,-4.4,81,2.5,1276,-7.1,0,0,0,2,0,1,146
2,12,2017,8,-4.2,79,2.1,1436,-7.3,0.01,0,0,2,0,1,219
2,12,2017,9,-2.9,68,1.6,1487,-7.9,0.3,0,0,2,0,1,328
2,12,2017,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,2,0,1,334
2,12,2017,11,1.9,49,1.8,1406,-7.7,1,0,0,2,0,1,388
2,12,2017,12,4.3,41,1.3,1666,-7.8,1.09,0,0,2,0,1,479
2,12,2017,13,6,36,1.8,1780,-7.9,1.12,0,0,2,0,1,606
2,12,2017,14,7.3,35,1.3,1955,-7.1,0.99,0,0,2,0,1,611
2,12,2017,15,7.6,41,2.3,1953,-4.8,0.74,0,0,2,0,1,589
2,12,2017,16,6.4,48,2.6,1945,-3.8,0.22,0,0,2,0,1,618
2,12,2017,17,6,51,2.5,1891,-3.3,0.06,0,0,2,0,1,572
2,12,2017,18,5.5,53,1.5,1697,-3.3,0,0,0,2,0,1,489
2,12,2017,19,5,52,2.3,1666,-4,0,0,0,2,0,1,385
2,12,2017,20,4.6,51,1.2,1585,-4.6,0,0,0,2,0,1,359
2,12,2017,21,4.1,55,1.2,1448,-4.1,0,0,0,2,0,1,377
2,12,2017,22,3.5,54,1.5,1446,-4.9,0,0,0,2,0,1,354
2,12,2017,23,4,56,1,1352,-4,0,0,0,2,0,1,366
3,12,2017,0,4,58,1.4,1296,-3.5,0,0,0,2,0,1,342
3,12,2017,1,3.9,69,1.7,485,-1.2,0,0,0,2,0,1,227
3,12,2017,2,3.3,79,1.4,830,0,0,0,0,2,0,1,228
3,12,2017,3,3.4,71,1.6,1011,-1.3,0,0.5,0,2,0,1,117
3,12,2017,4,3.5,73,1,1060,-0.8,0,0,0,2,0,1,76
3,12,2017,5,3.9,75,1.9,914,-0.1,0,0,0,2,0,1,32
3,12,2017,6,3.4,86,2.5,278,1.2,0,1,0,2,0,1,13
3,12,2017,7,3.1,91,1.2,129,1.7,0,0,0,2,0,1,22
3,12,2017,8,3.2,92,1.8,244,2,0,0,0,2,0,1,85
3,12,2017,9,3.5,91,1.8,231,2.1,0.02,2.5,0,2,0,1,152
3,12,2017,10,4.4,89,2.2,257,2.7,0.24,0,0,2,0,1,200
3,12,2017,11,5.1,87,1.4,321,3.1,0.25,0,0,2,0,1,273
3,12,2017,12,5.8,85,1.7,349,3.4,0.43,0,0,2,0,1,333
3,12,2017,13,6.8,81,1.9,390,3.7,0.6,0,0,2,0,1,495
3,12,2017,14,7.6,76,1.2,422,3.6,0.69,0,0,2,0,1,563
3,12,2017,15,8,73,1.6,433,3.4,0.53,0,0,2,0,1,621
3,12,2017,16,7.6,77,1.6,399,3.8,0.2,0,0,2,0,1,598
3,12,2017,17,6.7,82,1.5,358,3.8,0.05,0,0,2,0,1,545
3,12,2017,18,6,84,1.9,327,3.4,0,0,0,2,0,1,443
3,12,2017,19,5.7,85,1.7,309,3.3,0,0,0,2,0,1,422
3,12,2017,20,5.2,87,1.4,253,3.2,0,0,0,2,0,1,397
3,12,2017,21,4.7,87,1.2,247,2.7,0,0,0,2,0,1,385
3,12,2017,22,4.3,89,1.8,201,2.6,0,0,0,2,0,1,350
3,12,2017,23,3.9,90,1.3,194,2.4,0,0,0,2,0,1,303
4,12,2017,0,4.2,88,0.6,216,2.3,0,0,0,2,0,1,285
4,12,2017,1,4.3,87,0.5,221,2.3,0,0,0,2,0,1,186
4,12,2017,2,4.4,87,1.8,207,2.4,0,0,0,2,0,1,112
4,12,2017,3,3.6,85,2.3,206,1.3,0,0,0,2,0,1,65
4,12,2017,4,2.8,89,1.5,130,1.1,0,0,0,2,0,1,41
4,12,2017,5,2,83,2.7,253,-0.5,0,0,0,2,0,1,82
4,12,2017,6,1.2,76,3.7,371,-2.5,0,0.1,0,2,0,1,200
4,12,2017,7,0.2,68,3.4,702,-5,0,0,0,2,0,1,498
4,12,2017,8,-0.8,69,3.5,954,-5.7,0.01,0,0,2,0,1,937
4,12,2017,9,-1.5,47,4.2,1888,-11.3,0.22,0,0,2,0,1,509
4,12,2017,10,-1.1,40,4.5,2000,-13,0.64,0,0,2,0,1,311
4,12,2017,11,-0.5,41,4.1,1799,-12.1,0.94,0,0,2,0,1,379
4,12,2017,12,-0.3,38,4.8,1823,-12.9,1.11,0,0,2,0,1,393
4,12,2017,13,0,30,5.4,1938,-15.5,1.17,0,0,2,0,1,391
4,12,2017,14,0.1,27,4.5,2000,-16.7,1.09,0,0,2,0,1,338
4,12,2017,15,-0.1,25,5.8,2000,-17.8,0.88,0,0,2,0,1,341
4,12,2017,16,-0.2,23,4.7,2000,-18.8,0.55,0,0,2,0,1,375
4,12,2017,17,-1.3,26,5.3,2000,-18.3,0.18,0,0,2,0,1,515
4,12,2017,18,-2.1,29,3.9,2000,-17.7,0,0,0,2,0,1,807
4,12,2017,19,-2.9,32,3.2,2000,-17.3,0,0,0,2,0,1,568
4,12,2017,20,-3.6,38,3,2000,-15.8,0,0,0,2,0,1,398
4,12,2017,21,-4.6,43,4.5,2000,-15.3,0,0,0,2,0,1,397
4,12,2017,22,-5.3,45,2.5,2000,-15.3,0,0,0,2,0,1,353
4,12,2017,23,-5.8,44,2.4,2000,-16.1,0,0,0,2,0,1,248
5,12,2017,0,-6.1,42,2.6,2000,-16.9,0,0,0,2,0,1,216
5,12,2017,1,-6.5,41,2.8,2000,-17.6,0,0,0,2,0,1,198
5,12,2017,2,-6.8,41,2.5,2000,-17.8,0,0,0,2,0,1,124
5,12,2017,3,-6.9,39,2,2000,-18.5,0,0,0,2,0,1,62
5,12,2017,4,-7.2,34,3,2000,-20.4,0,0,0,2,0,1,42
5,12,2017,5,-7.4,33,2.6,2000,-20.9,0,0,0,2,0,1,82
5,12,2017,6,-7.4,34,3.2,2000,-20.6,0,0,0,2,0,1,172
5,12,2017,7,-7.5,33,2.2,2000,-21,0,0,0,2,0,1,381
5,12,2017,8,-8.1,36,1.6,2000,-20.5,0.01,0,0,2,0,1,812
5,12,2017,9,-7.6,31,1.3,1974,-21.8,0.21,0,0,2,0,1,462
5,12,2017,10,-5.5,26,2.8,1967,-22,0.64,0,0,2,0,1,269
5,12,2017,11,-3.9,25,0,1959,-21,0,0,0,2,0,1,334
5,12,2017,12,-2.3,25,0,1962,-19.7,0,0,0,2,0,1,321
